Untitled spreadsheet - Sheet1
Agency,Description,Uploaded on,Saved
DEPARTMENT OF AGRICULTURE,USDA NAL WALL STREET JOURNA...,2/14/2025,"$50,265.00"
DEPARTMENT OF AGRICULTURE,RENEWAL OF THE FINANCIAL TI...,2/14/2025,"$264,448.00"
DEPARTMENT OF AGRICULTURE,CIVIL RIGHTS REQUESTS ASSIS...,1/30/2025,"$1,856,231.00"
DEPARTMENT OF AGRICULTURE,ADD FUNDS TO CR DEI LEP ALA...,1/30/2025,$0.00
DEPARTMENT OF AGRICULTURE,SEE FPDS,1/31/2025,SEE FPDS
DEPARTMENT OF AGRICULTURE,AUDIO VISUAL EQUIPMENT AND ...,2/6/2025,$0.00
DEPARTMENT OF AGRICULTURE,DIVERSITY AND INCLUSION CON...,2/6/2025,$0.00
DEPARTMENT OF AGRICULTURE,"USDA, OFFICE OF THE CHIEF D...",2/7/2025,$0.00
DEPARTMENT OF AGRICULTURE,ASIA PACIFIC- SRI LANKA CLI...,2/7/2025,$0.00
DEPARTMENT OF AGRICULTURE,"DIVERSITY, EQUITY, INCLUSIO...",2/7/2025,$0.00
DEPARTMENT OF AGRICULTURE,CENTRAL AMERICA GENDER ASSE...,2/10/2025,$0.00
DEPARTMENT OF AGRICULTURE,BPA CALL ORDER AGAINST SING...,2/10/2025,"$49,952.00"
DEPARTMENT OF AGRICULTURE,ADD FUNDS TO CIVIL RIGHTS D...,2/10/2025,$0.00
DEPARTMENT OF AGRICULTURE,BRAZIL COMMUNITY TOURISM CO...,2/10/2025,$0.00
DEPARTMENT OF AGRICULTURE,OCDIO COMMUNICATIONS AND EN...,2/10/2025,"$225,000.00"
DEPARTMENT OF AGRICULTURE,GUATEMALA AND BELIZE VISUAL...,2/10/2025,$0.00
DEPARTMENT OF AGRICULTURE,PROJECT MANAGEMENT OFFICE S...,2/12/2025,"$18,404,482.00"
DEPARTMENT OF AGRICULTURE,WASHINGTON OFFICE STATE PRI...,2/12/2025,"$920,724.00"
DEPARTMENT OF AGRICULTURE,THE OFFICE OF THE CHIEF IS ...,2/12/2025,"$498,272.00"
DEPARTMENT OF AGRICULTURE,SENIOR LEADERSHIP TEAMBUILD...,2/12/2025,"$425,712.00"
DEPARTMENT OF AGRICULTURE,GEOTASC PROVIDES NATIONAL L...,2/12/2025,"$335,054.00"
DEPARTMENT OF AGRICULTURE,GARTNER INC EXECUTIVE PROGR...,2/12/2025,"$155,555.00"
DEPARTMENT OF COMMERCE,EEO & DIVERSITY TRAINING,1/23/2025,"$51,847.00"
DEPARTMENT OF COMMERCE,DEIA SUPPORT SERVICES,1/29/2025,"$366,000.00"
DEPARTMENT OF COMMERCE,NMFS HUMAN CAPITAL MANAGEME...,1/30/2025,"$64,437.00"
DEPARTMENT OF COMMERCE,"DIVERSITY, EQUITY, INCLUSIO...",1/31/2025,"$400,976.00"
DEPARTMENT OF COMMERCE,IN 2023 NOAA FISHERIES RELE...,1/31/2025,"$1,034,304.00"
DEPARTMENT OF COMMERCE,THE PURPOSE OF THIS CALL OR...,1/31/2025,$0.00
DEPARTMENT OF COMMERCE,ORGANIZATIONAL ASSESSMENT C...,2/3/2025,"$2,340,823.00"
DEPARTMENT OF COMMERCE,NON-PERSONAL SERVICES FOR J...,2/6/2025,$0.00
DEPARTMENT OF COMMERCE,BLANKET PURCHASE AGREEMENT ...,2/6/2025,"$20,000,000.00"
DEPARTMENT OF COMMERCE,BLANKET PURCHASE AGREEMENT ...,2/6/2025,"$20,000,000.00"
DEPARTMENT OF COMMERCE,CONTRIBUTION TO DEIBAJ STUDY,2/6/2025,$0.00
DEPARTMENT OF COMMERCE,BLANKET PURCHASE AGREEMENT ...,2/6/2025,"$20,000,000.00"
DEPARTMENT OF COMMERCE,EDUCATOR ENGAGEMENT SERVICES,2/6/2025,$0.00
DEPARTMENT OF COMMERCE,USPTO/OHR TALENT ACQUISITIO...,2/7/2025,$0.00
DEPARTMENT OF COMMERCE,ORGANIZATIONAL ASSESSMENT C...,2/10/2025,"$25,000,000.00"
DEPARTMENT OF COMMERCE,YOUTH WORK EXPERIENCE - YOU...,2/12/2025,"$1,238,320.00"
DEPARTMENT OF COMMERCE,ORGANIZATIONAL CLIMATE ASSE...,2/14/2025,$0.00
DEPARTMENT OF COMMERCE,STUDY ON EQUITABLE DISTRIBU...,2/14/2025,$0.00
DEPARTMENT OF COMMERCE,MEP BOARD DEVELOPMENT SUPPO...,2/14/2025,$0.00
DEPARTMENT OF COMMERCE,DEIA ANALYSIS SUPPORT SERVI...,2/14/2025,$0.00
DEPARTMENT OF COMMERCE,8A DIRECT AWARD TASK ORDER ...,1/31/2025,"$600,000.00"
DEPARTMENT OF COMMERCE,COUNCIL FOR INCLUSIVE INNOV...,2/4/2025,"$2,078,441.00"
DEPARTMENT OF COMMERCE,CONFERENCE BOARD/ENGAGEMENT...,2/6/2025,"$76,500.00"
DEPARTMENT OF COMMERCE,DEIA ASSESSMENTS,2/13/2025,$0.00
DEPARTMENT OF COMMERCE,PROVIDE REGIONAL LOGISTICAL...,2/13/2025,$0.00
DEPARTMENT OF COMMERCE,NON-PERSONAL SERVICES TO RE...,2/13/2025,$0.00
DEPARTMENT OF COMMERCE,NATIONAL ACADEMY OF SCIENCE...,2/13/2025,$0.00
DEPARTMENT OF COMMERCE,VIDEO AND DIGITAL MEDIA COM...,2/13/2025,"$2,598,174.00"
DEPARTMENT OF COMMERCE,LEADERSHIP DEVELOPMENT AND ...,2/13/2025,"$1,894,647.00"
DEPARTMENT OF COMMERCE,BPA CALL ORDER FOR SCIENCE ...,2/13/2025,$0.00
DEPARTMENT OF COMMERCE,PROVIDE SCIENCE-RELATED COM...,2/13/2025,"$107,313.00"
DEPARTMENT OF COMMERCE,PURCHASE INCENTIVES FOR CMP...,2/13/2025,$0.00
DEPARTMENT OF COMMERCE,"SCIENTIFIC, ENGINEERING, AN...",2/14/2025,"$1,073,496.00"
DEPARTMENT OF COMMERCE,PROJECT MANAGEMENT/PROGRAM ...,2/14/2025,"$631,749.00"
DEPARTMENT OF COMMERCE,"SCIENCE, ENGINEERING, AND T...",2/14/2025,"$446,921.00"
DEPARTMENT OF COMMERCE,NOS/AA - PROGRAM OFFICE COO...,2/14/2025,"$227,750.00"
DEPARTMENT OF COMMERCE,PROGRAM MANAGER FOR NURSING...,2/14/2025,"$189,280.00"
DEPARTMENT OF COMMERCE,TASK ORDER FOR TECHNOLOGY P...,2/14/2025,"$158,626.00"
DEPARTMENT OF COMMERCE,EEJ PROJECT CULTURAL LIAISO...,2/14/2025,"$146,323.00"
DEPARTMENT OF COMMERCE,DEVELOPMENT OF PIFSC STRATE...,2/14/2025,"$130,490.00"
DEPARTMENT OF COMMERCE,THE PURPOSE OF THE REQUIREM...,2/14/2025,"$70,000.00"
DEPARTMENT OF COMMERCE,"ARCHIBUS. PLANNING, IMPLEME...",2/14/2025,"$55,998.00"
DEPARTMENT OF COMMERCE,TASK ORDER CALL AGAINST: ...,2/14/2025,"$5,258.00"
DEPARTMENT OF COMMERCE,RE-CREATION OF ORIGINAL FPD...,2/14/2025,$0.00
DEPARTMENT OF COMMERCE,OFFICE OF FACILITIES STAFFI...,2/14/2025,$0.00
DEPARTMENT OF COMMERCE,OFFICE OF PATENT FINANCIAL ...,2/14/2025,"$3,305,891.00"
DEPARTMENT OF COMMERCE,PATENT PRODUCT LINE MANAGEM...,2/14/2025,"$3,213,264.00"
DEPARTMENT OF COMMERCE,THE OFFICE OF PATENT INFORM...,2/14/2025,"$575,469.00"
DEPARTMENT OF COMMERCE,THIS IS A BASE AWARD BLANKE...,2/14/2025,"$62,988.00"
DEPARTMENT OF COMMERCE,THIS EFFORT IS THE PROCUREM...,2/14/2025,"$3,822.00"
DEPARTMENT OF COMMERCE,SEE FPDS,2/14/2025,SEE FPDS
DEPARTMENT OF COMMERCE,PROFESSIONAL SERVICES,2/14/2025,"$2,745,284.00"
DEPARTMENT OF COMMERCE,SCIENTIFIC AND TECHNICAL SU...,2/14/2025,"$5,724,281.00"
DEPARTMENT OF COMMERCE,STRATEGIC PROGRAM MANAGEMEN...,2/14/2025,"$858,928.00"
DEPARTMENT OF COMMERCE,NTIA INDEPENDENT IT ORGANIZ...,2/14/2025,"$750,000.00"
DEPARTMENT OF COMMERCE,FISCAL YEAR OMBI REPORTS SE...,2/14/2025,"$925,638.00"
DEPARTMENT OF COMMERCE,SUPPORT SERVICES,2/14/2025,"$184,057.00"
DEPARTMENT OF COMMERCE,COST-BENEFIT ANALYSIS AND T...,2/14/2025,$0.00
DEPARTMENT OF COMMERCE,SUPPORT- PROFESSIONAL: ENGI...,2/14/2025,$0.00
DEPARTMENT OF COMMERCE,SPECIAL STUDIES/ANALYSIS- S...,2/14/2025,$0.00
DEPARTMENT OF COMMERCE,SUPPORT- PROFESSIONAL: ENGI...,2/14/2025,$0.00
DEPARTMENT OF COMMERCE,CONSULTATIVE AND RESEARCH S...,2/14/2025,$0.00
DEPARTMENT OF COMMERCE,IT SUBSCRIPTION AND ADVISOR...,2/14/2025,$0.00
DEPARTMENT OF COMMERCE,IT SUBSCRIPTION AND CONSULTING,2/14/2025,$0.00
DEPARTMENT OF COMMERCE,GARTNER SUBSCRIPTION,2/14/2025,$0.00
DEPARTMENT OF COMMERCE,GARTNER SUBSCRIPTION,2/14/2025,$0.00
DEPARTMENT OF COMMERCE,GARTNER FOR FINANCIAL LEADERS,2/14/2025,$0.00
DEPARTMENT OF COMMERCE,OSIM PROGRAM MANAGEMENT OFF...,2/14/2025,$0.00
DEPARTMENT OF COMMERCE,MEP NATIONAL NETWORK KNOWLE...,2/14/2025,$0.00
DEPARTMENT OF COMMERCE,IMPLEMENTATION PHASE,2/14/2025,$0.00
DEPARTMENT OF COMMERCE,MEP CENTER DIRECTOR SUPPORT...,2/14/2025,$0.00
DEPARTMENT OF COMMERCE,MANUFACTURING EXTENSION PAR...,2/14/2025,$0.00
DEPARTMENT OF DEFENSE,LEADING INCLUSIVELY VIRTUAL...,1/24/2025,"$2,233,350.00"
DEPARTMENT OF DEFENSE,AIR UNIVERSITY PROFESSION O...,2/5/2025,"$1,856,256.00"
DEPARTMENT OF DEFENSE,"DIVERSITY, EQUITY AND INCLU...",2/6/2025,"$130,000.00"
DEPARTMENT OF DEFENSE,DEPARTMENT OF DEFENSE (DOD)...,2/12/2025,$0.00
DEPARTMENT OF DEFENSE,INITIATE THE EEO PROCESS AN...,2/12/2025,$0.00
DEPARTMENT OF DEFENSE,NON-PERSONAL SERVICES FOR A...,2/12/2025,"$234,268.00"
DEPARTMENT OF DEFENSE,POLITICO PRO PLUS- DIGITIAL...,2/12/2025,$0.00
DEPARTMENT OF DEFENSE,THE SOUTHWEST DIVISION HAS ...,2/12/2025,"$64,620.00"
DEPARTMENT OF DEFENSE,SUBSCRIPTION RENEWAL TO E&E...,2/12/2025,"$73,421.00"
DEPARTMENT OF EDUCATION,THIS TASK ORDER IS TO PROVI...,1/23/2025,"$16,700.00"
DEPARTMENT OF EDUCATION,DECISION SUPPORT SERVICES A...,2/5/2025,"$498,553.00"
DEPARTMENT OF EDUCATION,DIGITAL MODERNIZATION PROGR...,2/5/2025,"$18,808,185.00"
DEPARTMENT OF EDUCATION,CONTINUATION OF PROGRAM MAN...,2/5/2025,"$3,458,816.00"
DEPARTMENT OF EDUCATION,DAILY NEWS DIGEST,2/5/2025,"$1,091,916.00"
DEPARTMENT OF EDUCATION,ACCESS TO A CATALOG OF TRAI...,2/5/2025,$0.00
DEPARTMENT OF EDUCATION,SUPPORT FOR EDUCATION DEPAR...,2/11/2025,"$1,839,655.00"
DEPARTMENT OF EDUCATION,INFORMATION ASSURANCE SUPPO...,2/11/2025,"$1,169,264.00"
DEPARTMENT OF EDUCATION,8(A) SOLE SOURCE CONTRACT T...,2/11/2025,"$642,883.00"
DEPARTMENT OF EDUCATION,HR SUPPORT SPECIALIST FOR O...,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,SENIOR DATABASE ADMINISTRATOR,2/11/2025,"$950,938.00"
DEPARTMENT OF EDUCATION,SHAREPOINT CUSTOMER SUPPORT...,2/11/2025,"$300,901.00"
DEPARTMENT OF EDUCATION,HUMAN RESOURCES (HR) SURGE ...,2/11/2025,"$71,609.00"
DEPARTMENT OF EDUCATION,ED FACTS DATA AND DISSEMINA...,2/11/2025,"$31,053,150.00"
DEPARTMENT OF EDUCATION,THIS CONTRACT IS TO CONDUC...,2/11/2025,"$22,474,868.00"
DEPARTMENT OF EDUCATION,WHAT WORKS CLEARINGHOUSE SU...,2/11/2025,"$17,849,220.00"
DEPARTMENT OF EDUCATION,INTERNATIONAL ACTIVITIES CO...,2/11/2025,"$13,113,343.00"
DEPARTMENT OF EDUCATION,ASSISTANCE WITH REVIEW OF G...,2/11/2025,"$9,324,141.00"
DEPARTMENT OF EDUCATION,EDUCATION DEMOGRAPHIC AND G...,2/11/2025,"$17,188,194.00"
DEPARTMENT OF EDUCATION,THIS CONTRACT IS TO EVALUAT...,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,ASSESSING THE EFFECTIVENESS...,2/11/2025,"$6,999,520.00"
DEPARTMENT OF EDUCATION,COMMON EDUCATION DATA STAND...,2/11/2025,"$12,044,087.00"
DEPARTMENT OF EDUCATION,DEP. OF ED. INSTITUTE OF ED...,2/11/2025,"$6,327,067.00"
DEPARTMENT OF EDUCATION,EO14042 TECHNICAL ASSISTANC...,2/11/2025,"$8,217,796.00"
DEPARTMENT OF EDUCATION,RESEARCH STUDY TO SUPPORT S...,2/11/2025,"$8,055,395.00"
DEPARTMENT OF EDUCATION,LONGITUDINAL SURVEYS BRANCH...,2/11/2025,"$6,854,312.00"
DEPARTMENT OF EDUCATION,EO14042 - STATISTICAL STAND...,2/11/2025,"$5,083,879.00"
DEPARTMENT OF EDUCATION,THE PURPOSE OF THIS PROCURE...,2/11/2025,"$8,627,492.00"
DEPARTMENT OF EDUCATION,IES DIGITAL MODERNIZATION T...,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,THIS CONTRACT IS CONTRACT T...,2/11/2025,"$2,411,313.00"
DEPARTMENT OF EDUCATION,THIS CONTRACT IS TO CONDUCT...,2/11/2025,"$2,782,944.00"
DEPARTMENT OF EDUCATION,THIS CONTRACT SUPPORTS THE ...,2/11/2025,"$4,114,709.00"
DEPARTMENT OF EDUCATION,"IGF::OT::IGF ""OTHER FUNCTIO...",2/11/2025,$0.00
DEPARTMENT OF EDUCATION,THIS CONTRACT TO CONDUCT AN...,2/11/2025,"$2,008,105.00"
DEPARTMENT OF EDUCATION,INTERNATIONAL ACTIVITIES RE...,2/11/2025,"$3,161,714.00"
DEPARTMENT OF EDUCATION,THE TEACHING AND LEARNING I...,2/11/2025,"$268,744.00"
DEPARTMENT OF EDUCATION,THE PURPOSE OF THIS REQUIRE...,2/11/2025,"$2,653,316.00"
DEPARTMENT OF EDUCATION,THE PURPOSE OF THIS REQUIRE...,2/11/2025,"$2,438,485.00"
DEPARTMENT OF EDUCATION,LOGISTICAL SUPPORT SERVICES...,2/11/2025,"$2,291,692.00"
DEPARTMENT OF EDUCATION,LOGISTICS AND EVEN PLANNING...,2/11/2025,"$1,883,916.00"
DEPARTMENT OF EDUCATION,THE PURPOSE OF THIS REQUIRE...,2/11/2025,"$1,852,501.00"
DEPARTMENT OF EDUCATION,HIGH SCHOOL LONGITUDINAL ST...,2/11/2025,"$1,674,231.00"
DEPARTMENT OF EDUCATION,EVALUATION OF GRANT PROGRAM...,2/11/2025,"$1,670,465.00"
DEPARTMENT OF EDUCATION,TASK AWARD AWARD FOR REL EV...,2/11/2025,"$1,185,808.00"
DEPARTMENT OF EDUCATION,PESTO TO 0005,2/11/2025,"$2,397,026.00"
DEPARTMENT OF EDUCATION,PROVIDE SUPPORT FOR OUTREAC...,2/11/2025,"$5,972,584.00"
DEPARTMENT OF EDUCATION,THE PURPOSE OF THIS PROCURE...,2/11/2025,"$1,015,062.00"
DEPARTMENT OF EDUCATION,PESTO TO 0003,2/11/2025,"$901,579.00"
DEPARTMENT OF EDUCATION,PESTO TASK ORDER 0004,2/11/2025,"$927,629.00"
DEPARTMENT OF EDUCATION,PESTO TO 7,2/11/2025,"$799,677.00"
DEPARTMENT OF EDUCATION,ASSISTANCE WITH SURVEYS FOR...,2/11/2025,"$695,127.00"
DEPARTMENT OF EDUCATION,TO SUPPORT THE ACTIVITIES O...,2/11/2025,"$543,289.00"
DEPARTMENT OF EDUCATION,THE PURPOSE OF THIS REQUIRE...,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,IT INVESTMENT MANAGEMENT SU...,2/11/2025,"$315,619.00"
DEPARTMENT OF EDUCATION,THE OBJECTIVE OF THIS ORDER...,2/11/2025,"$266,003.00"
DEPARTMENT OF EDUCATION,POST SECONDARY PUBLICATIONS...,2/11/2025,"$255,328.00"
DEPARTMENT OF EDUCATION,APPIAN MAINTENANCE SOFTWARE...,2/11/2025,"$32,478.00"
DEPARTMENT OF EDUCATION,FSA REQUIREMENT TO CONDUCT ...,2/11/2025,"$48,030.00"
DEPARTMENT OF EDUCATION,THIS IS A CONTRACT TO EXAMI...,2/11/2025,"$153,984.00"
DEPARTMENT OF EDUCATION,2019-20 NATIONAL POSTSECOND...,2/11/2025,"$27,744,830.00"
DEPARTMENT OF EDUCATION,THE HIGH SCHOOL AND BEYOND ...,2/11/2025,"$54,274,065.00"
DEPARTMENT OF EDUCATION,THE DESIGN AND CONDUCT OF T...,2/11/2025,"$48,429,578.00"
DEPARTMENT OF EDUCATION,THE DEVELOPMENT AND TECHNIC...,2/11/2025,"$10,010,463.00"
DEPARTMENT OF EDUCATION,FIRST INTERNATIONAL STUDIES...,2/11/2025,"$26,014,048.00"
DEPARTMENT OF EDUCATION,THE PURPOSE OF THIS STUDY I...,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,THIS CONTRACT IS FOR ASSIST...,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,THIS FIVE-YEAR INDEFINITE D...,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,U.S. PARTICIPATION IN THE T...,2/11/2025,"$12,862,952.00"
DEPARTMENT OF EDUCATION,THE PURPOSE OF THE ADMINIST...,2/11/2025,"$1,160,196.00"
DEPARTMENT OF EDUCATION,REQUIREMENT TO PROVIDE TECH...,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,THIS TASK ORDER SUPPORTS TH...,2/11/2025,"$561,388.00"
DEPARTMENT OF EDUCATION,NATIONAL CENTER FOR EDUCATI...,2/11/2025,"$500,000.00"
DEPARTMENT OF EDUCATION,THE PURPOSE OF THIS TASK OR...,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,TASK ORDER 1: ASSISTING STU...,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,2023-24 NATIONAL POSTSECOND...,2/11/2025,"$54,798,900.00"
DEPARTMENT OF EDUCATION,THE PURPOSE OF THIS CONTRAC...,2/11/2025,"$10,962.00"
DEPARTMENT OF EDUCATION,TITLE I II REPORTING,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,ENGLISH LEARNER,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,A REQUIREMENT TO OBTAIN LOG...,2/11/2025,"$6,305,671.00"
DEPARTMENT OF EDUCATION,"EDGMSS BPA, EVALUATION TECH...",2/11/2025,$0.00
DEPARTMENT OF EDUCATION,THE PURPOSE OF THIS TASK OR...,2/11/2025,"$3,415,094.00"
DEPARTMENT OF EDUCATION,TASK ORDER 002 FOR WWC-PEST...,2/11/2025,$0.00
DEPARTMENT OF EDUCATION,EVALUATING PROGRAMS AND STR...,2/11/2025,"$404,501.00"
